1,8550
0,3609
1,654
1,17913
0,145
0,2550
1,5970
0,2461
1,33806
0,17
0,1
0,17
0,7186
1,370
0,159
0,10290
0,54
0,4
1,40078
0,481
0,14300
0,1
0,16
0,18
1,1167
0,7
1,27473
0,47
0,127
0,286
0,35
1,1
0,63
0,15
0,17
0,574
1,1815
0,173
0,6
0,9172
0,5565
1,69
1,7723
0,39491
0,2020
1,1
0,16
1,17217
1,3717
1,3294
1,31
1,40143
0,49198
0,15221
0,191
0,49491
1,2842
1,2797
0,25825
0,7165
1,40
0,3
1,47
0,6
0,8631
0,7375
0,9649
0,3530
0,21
1,508
1,8
0,16
1,20349
1,4506
1,279
1,111
0,1472
0,2768
0,36002
0,168
0,631
0,50
0,44415
1,800
0,1847
0,1353
0,115
0,28497
1,2611
0,697
1,1728
0,1
1,32
0,57
1,358
0,522
1,4
0,612
0,2599
1,2
